price,volume
98.91,15
99.02,29
99.04,12
99.05,15
99.06,26
99.08,15
99.09,15
99.18,15
99.19,15
99.2,32
99.21000000000001,45
99.22,15
99.23,15
99.24000000000001,15
99.25,15
99.26,15
99.28,45
99.29,6
99.32000000000001,15
99.35000000000001,17
99.36,1
99.4,7
99.42,8
99.51,9
99.55,9
99.60000000000001,4
99.64,7
99.65,4
99.68,7
99.7,1
99.72,15
99.75,15
99.77,15
99.83,6
99.86,5
99.87,10
99.88,12
99.9,30
99.95,6
99.96000000000001,18
99.97,2
99.98,15
100.0,18
100.02,60
100.03,15
100.08,30
100.10000000000001,15
100.12,15
100.14,10
100.16,44
100.18,23
100.2,30
100.22,3
100.24000000000001,2
100.32000000000001,7
100.38,2
100.4,12
100.41,14
100.61,15
100.63,2
100.65,7
100.67,1
100.73,6
100.92,5
100.94,5
100.99000000000001,11
101.4,4
101.5,8
101.56,4
101.63,9
