tick,timestamp,position,cash,pnl,trades_executed
1,1746060061.6625762,0,0.0,0.0,0
2,1746060061.664812,-15,1500.3,0.2999999999999545,1
3,1746060061.665775,-15,1500.6,0.599999999999909,3
4,1746060061.6663098,15,-1499.4,0.599999999999909,6
5,1746060061.666653,8,-799.5400000000002,0.459999999999809,9
6,1746060061.66704,0,0.29999999999984084,0.29999999999984084,12
7,1746060061.6671848,-1,100.31999999999984,0.31999999999983686,13
8,1746060061.6672902,-1,100.75999999999999,0.7599999999999909,16
9,1746060061.667443,20,-1998.94,1.2599999999997635,18
10,1746060061.667584,-1,101.05999999999995,1.05499999999995,22
11,1746060061.667701,14,-1398.94,0.9200000000000728,23
12,1746060061.667796,-1,100.75999999999999,0.799999999999983,24
13,1746060061.667871,3,-298.6600000000001,1.2349999999999,27
14,1746060061.6680892,-12,1200.59,1.1899999999998272,28
15,1746060061.6683211,25,-2497.3300000000004,1.294999999999618,32
16,1746060061.668458,7,-697.8400000000005,1.7749999999995225,35
17,1746060061.668751,-6,600.7099999999994,1.1299999999993133,37
18,1746060061.668874,14,-1398.1900000000007,0.6899999999993724,40
19,1746060061.669023,19,-1897.5300000000009,0.949999999999136,44
20,1746060061.6691499,6,-599.0100000000011,0.08999999999878128,46
21,1746060061.6692429,13,-1297.8900000000012,0.1599999999987176,50
22,1746060061.669368,-1,99.72999999999865,-0.12000000000134037,53
23,1746060061.669513,14,-1397.8700000000015,-0.11000000000149157,54
24,1746060061.6696231,-4,398.97999999999865,-0.3800000000013597,57
25,1746060061.669743,26,-2595.7700000000013,0.06999999999879947,59
26,1746060061.669856,26,-2595.6000000000013,-0.5400000000013279,62
27,1746060061.670024,41,-4091.680000000001,-0.29000000000132786,66
28,1746060061.670124,41,-4091.080000000001,-1.535000000000764,68
29,1746060061.670222,26,-2595.8000000000006,-2.6900000000005093,70
30,1746060061.670343,26,-2595.6500000000005,-3.0600000000004,72
31,1746060061.6704268,26,-2595.76,-4.210000000000036,75
32,1746060061.670562,11,-1101.02,-4.759999999999991,77
33,1746060061.670696,-4,393.2800000000002,-5.359999999999786,78
34,1746060061.670783,26,-2595.3199999999997,-5.069999999999709,81
35,1746060061.6708999,41,-4088.2700000000004,-5.489999999999782,84
36,1746060061.671009,41,-4088.27,-7.335000000000036,86
37,1746060061.6711109,41,-4088.57,-9.890000000000782,88
38,1746060061.6712,41,-4088.42,-10.150000000000091,90
39,1746060061.6713212,41,-4088.1200000000003,-10.055000000000291,93
40,1746060061.67144,41,-4087.2200000000003,-11.41000000000031,95
41,1746060061.6715488,41,-4086.92,-9.675000000000182,97
42,1746060061.671681,26,-2596.07,-12.190000000000055,98
43,1746060061.671798,11,-1107.0700000000002,-14.769999999999982,100
44,1746060061.6719291,27,-2693.65,-15.384999999999764,102
45,1746060061.672045,25,-2494.7599999999998,-13.009999999999309,106
46,1746060061.672199,21,-2098.67,-15.995000000000346,109
47,1746060061.672341,6,-612.7399999999998,-17.179999999999723,112
48,1746060061.672499,6,-611.24,-16.100000000000023,114
49,1746060061.672585,6,-610.6400000000003,-15.740000000000236,116
50,1746060061.672673,-4,380.3599999999999,-16.160000000000082,118
51,1746060061.672801,11,-1106.4400000000003,-16.010000000000446,119
52,1746060061.673992,-3,280.97999999999996,-16.319999999999993,121
53,1746060061.674272,12,-1204.8899999999999,-15.209999999999582,126
54,1746060061.6744561,-3,281.9100000000003,-15.509999999999764,127
55,1746060061.6747258,12,-1205.1899999999996,-15.509999999999309,128
56,1746060061.674907,-3,281.6100000000006,-15.764999999999418,129
57,1746060061.6750422,12,-1205.3399999999992,-15.899999999999181,130
58,1746060061.675146,-3,281.160000000001,-16.139999999998963,131
59,1746060061.675235,12,-1205.6399999999992,-16.61999999999921,132
60,1746060061.675358,-1,82.24000000000095,-16.819999999999055,135
61,1746060061.675652,26,-2592.2599999999993,-16.829999999999018,137
62,1746060061.675877,-11,1073.520000000001,-16.359999999999218,142
63,1746060061.67614,34,-3384.7599999999993,-15.699999999999363,146
64,1746060061.676262,4,-411.84999999999945,-15.48999999999944,150
65,1746060061.6764412,19,-1897.4499999999996,-15.689999999999827,151
66,1746060061.676573,19,-1897.1499999999994,-15.389999999999645,153
67,1746060061.676694,-5,479.69000000000057,-15.584999999999468,156
68,1746060061.6773582,1,-114.63999999999965,-15.579999999999643,159
69,1746060061.677571,9,-906.3399999999997,-14.889999999999645,162
70,1746060061.67772,5,-509.8599999999997,-14.359999999999673,166
71,1746060061.6778822,-3,284.72000000000025,-12.53499999999974,171
72,1746060061.67807,-3,284.72000000000025,-12.654999999999745,171
73,1746060061.6781719,-3,284.72000000000025,-12.744999999999777,173
74,1746060061.678324,-3,284.72000000000037,-12.774999999999636,176
75,1746060061.678796,-7,681.4400000000005,-12.784999999999513,181
76,1746060061.679151,10,-1003.4399999999995,-12.23999999999944,186
77,1746060061.679554,3,-309.5399999999994,-12.41999999999939,189
78,1746060061.679701,3,-309.23999999999955,-12.149999999999523,192
79,1746060061.6798239,23,-2289.18,-11.950000000000273,195
80,1746060061.679944,11,-1100.73,-11.454999999999927,200
81,1746060061.680086,2,-209.91000000000005,-11.920000000000044,203
82,1746060061.680244,14,-1397.5500000000002,-11.759999999999991,206
83,1746060061.680385,11,-1100.3400000000001,-11.394999999999982,210
84,1746060061.680513,-4,384.3599999999999,-11.580000000000155,212
85,1746060061.680732,11,-1100.7900000000002,-11.790000000000191,213
86,1746060061.680922,11,-1099.8900000000003,-10.890000000000327,215
87,1746060061.681033,15,-1495.5400000000002,-10.615000000000009,219
88,1746060061.681172,11,-1098.8400000000001,-9.950000000000045,221
89,1746060061.681352,-18,1771.82,-10.000000000000227,224
90,1746060061.6815841,11,-1098.8400000000001,-10.00500000000011,227
91,1746060061.6818821,11,-1098.69,-9.965000000000146,230
92,1746060061.6820211,-4,384.9599999999998,-10.920000000000186,232
93,1746060061.682275,26,-2583.54,-10.579999999999927,234
94,1746060061.6824472,10,-1001.0199999999998,-10.919999999999845,237
95,1746060061.682577,-5,482.7800000000003,-11.76999999999964,239
96,1746060061.682745,20,-1989.8599999999992,-11.059999999999263,243
97,1746060061.682985,-5,483.35000000000093,-11.599999999999113,246
98,1746060061.683224,10,-1001.6499999999991,-12.149999999999181,247
99,1746060061.6834428,10,-1001.7399999999989,-12.78999999999894,251
100,1746060061.683688,25,-2484.789999999999,-12.539999999999054,254
