tick,timestamp,position,cash,pnl,trades_executed
1,1746060061.6625762,0,0.0,0.0,0
2,1746060061.664812,0,0.0,0.0,0
3,1746060061.665775,0,0.0,0.0,0
4,1746060061.6663098,0,0.0,0.0,0
5,1746060061.666653,0,0.0,0.0,0
6,1746060061.66704,0,0.0,0.0,0
7,1746060061.6671848,0,0.0,0.0,0
8,1746060061.6672902,-9,899.8199999999999,-0.18000000000006366,2
9,1746060061.667443,-9,899.8199999999999,-0.2699999999999818,2
10,1746060061.667584,-9,899.8199999999999,-0.22500000000002274,2
11,1746060061.667701,-9,899.8199999999999,-0.09000000000014552,2
12,1746060061.667796,-9,899.8199999999999,0.1799999999998363,2
13,1746060061.667871,-9,899.8199999999999,0.13499999999987722,2
14,1746060061.6680892,-9,899.8199999999999,0.2699999999998681,2
15,1746060061.6683211,-9,899.8199999999999,0.3149999999998272,2
16,1746060061.668458,-9,899.8199999999999,0.3149999999998272,2
17,1746060061.668751,-9,899.8199999999999,0.4499999999998181,2
18,1746060061.668874,-16,1598.84,0.11999999999989086,3
19,1746060061.669023,-16,1598.84,0.11999999999989086,3
20,1746060061.6691499,-16,1598.84,1.240000000000009,3
21,1746060061.6692429,-16,1598.84,1.240000000000009,3
22,1746060061.669368,-16,1598.84,1.240000000000009,3
23,1746060061.669513,-16,1598.84,1.3999999999998636,3
24,1746060061.6696231,-16,1598.84,1.3999999999998636,3
25,1746060061.669743,-16,1598.84,1.3999999999998636,3
26,1746060061.669856,-25,2497.2200000000003,1.9700000000002547,4
27,1746060061.670024,-25,2497.2200000000003,2.4700000000002547,4
28,1746060061.670124,-25,2497.2200000000003,3.5950000000002547,4
29,1746060061.670222,-25,2497.2200000000003,3.8450000000002547,4
30,1746060061.670343,-25,2497.2200000000003,4.345000000000255,4
31,1746060061.6704268,-23,2297.82,5.295000000000073,5
32,1746060061.670562,-23,2297.82,5.640000000000327,5
33,1746060061.670696,-23,2297.82,5.640000000000327,5
34,1746060061.670783,-23,2297.82,6.445000000000164,5
35,1746060061.6708999,-23,2297.82,7.480000000000018,5
36,1746060061.671009,-23,2297.82,8.515000000000327,5
37,1746060061.6711109,-23,2297.82,9.7800000000002,5
38,1746060061.6712,-23,2297.82,10.010000000000218,5
39,1746060061.6713212,-23,2297.82,10.125,5
40,1746060061.67144,-23,2297.82,11.390000000000327,5
41,1746060061.6715488,-23,2297.82,10.585000000000491,5
42,1746060061.671681,-23,2297.82,12.080000000000382,5
43,1746060061.671798,-23,2297.82,13.920000000000073,5
44,1746060061.6719291,-23,2297.82,16.335000000000036,5
45,1746060061.672045,-32,3189.91,13.269999999999527,7
46,1746060061.672199,-32,3189.91,16.309999999999945,7
47,1746060061.672341,-23,2298.2799999999997,15.299999999999727,8
48,1746060061.672499,-23,2298.2799999999997,16.909999999999854,8
49,1746060061.672585,-23,2298.2799999999997,17.829999999999472,8
50,1746060061.672673,-29,2892.8099999999995,18.03999999999951,10
51,1746060061.672801,-29,2892.8099999999995,18.03999999999951,10
52,1746060061.673992,-29,2892.8099999999995,18.909999999999854,10
53,1746060061.674272,-29,2892.8099999999995,17.74999999999909,10
54,1746060061.6744561,-29,2892.8099999999995,17.74999999999909,10
55,1746060061.6747258,-29,2892.8099999999995,17.74999999999909,10
56,1746060061.674907,-29,2892.8099999999995,18.18499999999949,10
57,1746060061.6750422,-29,2892.8099999999995,18.329999999999472,10
58,1746060061.675146,-29,2892.8099999999995,18.909999999999854,10
59,1746060061.675235,-29,2892.8099999999995,19.344999999999345,10
60,1746060061.675358,-29,2892.8099999999995,20.069999999999254,10
61,1746060061.675652,-33,3288.9699999999993,20.15499999999929,11
62,1746060061.675877,-33,3288.9699999999993,19.329999999999018,11
63,1746060061.67614,-33,3288.9699999999993,18.99999999999909,11
64,1746060061.676262,-33,3288.9699999999993,18.99999999999909,11
65,1746060061.6764412,-33,3288.9699999999993,20.649999999999636,11
66,1746060061.676573,-33,3288.9699999999993,20.649999999999636,11
67,1746060061.676694,-33,3288.9699999999993,20.15499999999929,11
68,1746060061.6773582,-33,3288.9699999999993,19.989999999999327,11
69,1746060061.677571,-33,3288.9699999999993,20.3199999999988,11
70,1746060061.67772,-33,3288.9699999999993,18.669999999999618,11
